# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²),MaxQ (mbar)
0,0,420,0,0,103.305,103.986,0,0,0,0,0,11.885,43.47,-80.54,84,0,0,0,84,90,1.339e5,6.789e4,235.709,0.984,9.804,NaN,322.067,NaN,1.523e4,11.601,1.318e-4,0.673,0.55,0.023,0.1,0.002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.946,90,12.27,963.991,0.001,338.735,0.006,6.923e5,20.32,324.293,0.01,0.023,0,0
0.01,0.005,420.005,1.033,1.039,103.231,103.912,5.941e-4,0,5.941e-4,90,0.119,11.876,43.47,-80.54,57.836,0,0,0,84,90,1.338e5,6.784e4,235.686,0.984,9.804,NaN,322.133,NaN,1.521e4,11.593,0.02,0.653,0.53,0.023,0.1,0.194,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.983,90,12.27,963.99,0.001,338.734,0.007,8.332e5,20.32,324.293,0.01,0.037,1.107e-4,0.006
0.02,0.021,420.021,2.065,2.078,103.263,103.832,0.002,0,0.002,90,0.237,10.853,43.47,-80.54,41.561,0,0,0,84,90,1.338e5,6.779e4,235.664,0.984,9.804,NaN,322.2,NaN,1.519e4,11.586,0.085,0.625,0.502,0.023,0.1,0.477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.02,90,12.27,963.989,0.001,338.734,0.009,1.089e6,20.32,324.293,0.01,0.04,2.213e-4,0.025
0.03,0.046,420.046,3.097,3.116,103.189,103.757,0.005,0,0.005,90,0.346,10.846,43.47,-80.54,31.817,0,0,0,84,90,1.337e5,6.773e4,235.641,0.983,9.804,NaN,322.266,NaN,1.518e4,11.578,0.187,0.602,0.479,0.023,0.1,0.637,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.058,90,12.27,963.986,0.001,338.734,0.012,1.395e6,20.32,324.293,0.01,0.043,3.316e-4,0.057
0.04,0.083,420.083,4.127,4.152,102.934,103.501,0.009,6.357e-9,0.009,90,0.454,10.819,43.47,-80.54,25.7,0,0,0,84,90,1.336e5,6.765e4,235.617,0.983,9.804,NaN,322.399,NaN,1.513e4,11.552,0.315,0.583,0.46,0.023,0.1,0.703,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.095,90,12.269,963.981,0.001,338.734,0.014,1.726e6,20.32,324.293,0.01,0.047,4.419e-4,0.101
0.05,0.129,420.129,5.156,5.186,102.68,103.245,0.014,8.74e-9,0.014,90,0.562,10.792,43.47,-80.54,21.594,0,0,0,84,90,1.335e5,6.757e4,235.595,0.983,9.804,NaN,322.532,NaN,1.509e4,11.526,0.466,0.567,0.444,0.023,0.1,0.721,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.132,90,12.269,963.976,0.001,338.734,0.017,2.07e6,20.32,324.293,0.01,0.049,5.518e-4,0.158
0.06,0.186,420.186,6.18,6.216,102.244,102.808,0.021,1.112e-8,0.021,90,0.67,10.746,43.47,-80.54,18.311,0,0,0,84,90,1.335e5,6.751e4,235.599,0.982,9.804,NaN,322.681,NaN,1.503e4,11.482,0.632,0.555,0.432,0.023,0.1,0.72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.122,90,12.269,963.969,0.001,338.734,0.02,2.413e6,20.32,324.293,0.01,0.051,6.614e-4,0.227
0.07,0.253,420.253,7.2,7.242,101.809,102.369,0.028,1.351e-8,0.028,90,0.777,10.701,43.47,-80.54,15.86,0,0,0,84,90,1.334e5,6.746e4,235.605,0.982,9.804,NaN,322.83,NaN,1.496e4,11.437,0.811,0.545,0.422,0.023,0.1,0.706,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.111,90,12.268,963.961,0.001,338.734,0.023,2.76e6,20.32,324.293,0.01,0.053,7.705e-4,0.309
0.08,0.33,420.33,8.216,8.264,101.373,101.931,0.036,1.589e-8,0.036,90,0.884,10.655,43.47,-80.54,13.967,0,0,0,84,90,1.334e5,6.741e4,235.611,0.982,9.804,NaN,322.978,NaN,1.49e4,11.393,0.996,0.536,0.413,0.023,0.1,0.683,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.101,90,12.268,963.952,0.001,338.733,0.026,3.11e6,20.32,324.293,0.01,0.055,8.791e-4,0.402
0.09,0.417,420.417,9.229,9.282,101.179,101.736,0.045,1.828e-8,0.045,90,0.99,10.634,43.47,-80.54,12.462,0,0,0,84,90,1.333e5,6.733e4,235.586,0.981,9.804,NaN,323.089,NaN,1.486e4,11.373,1.189,0.528,0.405,0.023,0.1,0.658,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.091,90,12.267,963.942,0.001,338.733,0.029,3.462e6,20.32,324.293,0.01,0.057,9.875e-4,0.507
0.1,0.514,420.514,10.24,10.299,100.985,101.542,0.056,2.066e-8,0.056,90,1.097,10.614,43.47,-80.54,11.237,0,0,0,84,90,1.332e5,6.726e4,235.562,0.981,9.804,NaN,323.199,NaN,1.483e4,11.353,1.394,0.521,0.398,0.023,0.1,0.636,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.08,90,12.267,963.931,0.001,338.732,0.032,3.814e6,20.32,324.293,0.01,0.058,0.001,0.624
0.11,0.622,420.622,11.249,11.313,100.791,101.347,0.067,2.304e-8,0.067,90,1.203,10.594,43.47,-80.54,10.271,0,0,0,84,90,1.332e5,6.718e4,235.539,0.981,9.804,NaN,323.309,NaN,1.479e4,11.334,1.614,0.515,0.392,0.023,0.1,0.616,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.081,90,12.266,963.918,0.001,338.732,0.035,4.169e6,20.32,324.293,0.01,0.061,0.001,0.753
0.12,0.739,420.739,12.256,12.326,100.642,101.197,0.08,2.543e-8,0.08,90,1.309,10.578,43.47,-80.54,9.458,0,0,0,84,90,1.331e5,6.713e4,235.525,0.98,9.804,NaN,323.384,NaN,1.477e4,11.318,1.847,0.51,0.386,0.023,0.1,0.599,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.081,90,12.265,963.904,0.001,338.732,0.038,4.524e6,20.32,324.293,0.01,0.063,0.001,0.894
0.13,0.867,420.867,13.262,13.337,100.493,101.046,0.094,2.781e-8,0.094,90,1.414,10.562,43.47,-80.54,8.765,0,0,0,84,90,1.331e5,6.708e4,235.512,0.98,9.804,NaN,323.46,NaN,1.474e4,11.303,2.095,0.505,0.381,0.023,0.1,0.584,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.081,90,12.264,963.889,0.001,338.731,0.04,4.879e6,20.32,324.293,0.01,0.065,0.001,1.046
0.14,1.004,421.004,14.266,14.347,100.343,100.896,0.108,3.019e-8,0.108,90,1.52,10.547,43.47,-80.54,8.166,0,0,0,84,90,1.33e5,6.703e4,235.499,0.98,9.804,NaN,323.535,NaN,1.472e4,11.288,2.358,0.5,0.377,0.023,0.1,0.571,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.081,90,12.263,963.873,0.001,338.731,0.043,5.234e6,20.32,324.293,0.01,0.066,0.002,1.211
0.15,1.152,421.152,15.269,15.355,100.194,100.745,0.124,3.258e-8,0.124,90,1.625,10.531,43.47,-80.54,7.644,0,0,0,84,90,1.33e5,6.698e4,235.486,0.979,9.804,NaN,323.61,NaN,1.469e4,11.273,2.637,0.497,0.373,0.023,0.1,0.56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.081,90,12.263,963.856,0.001,338.73,0.046,5.59e6,20.32,324.293,0.01,0.068,0.002,1.387
0.16,1.31,421.31,16.268,16.36,99.647,100.196,0.141,3.496e-8,0.141,90,1.73,10.473,43.47,-80.54,7.155,0,0,0,84,90,1.329e5,6.69e4,235.488,0.979,9.804,NaN,323.797,NaN,1.461e4,11.217,2.926,0.493,0.37,0.023,0.1,0.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.072,90,12.261,963.837,0.001,338.729,0.049,5.943e6,20.32,324.293,0.01,0.069,0.002,1.574
0.17,1.477,421.477,17.261,17.359,99.101,99.646,0.159,3.734e-8,0.159,90,1.835,10.416,43.47,-80.54,6.723,0,0,0,84,90,1.328e5,6.682e4,235.491,0.979,9.804,NaN,323.983,NaN,1.453e4,11.161,3.23,0.49,0.367,0.023,0.1,0.541,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.063,90,12.26,963.818,0.001,338.729,0.052,6.295e6,20.32,324.293,0.01,0.071,0.002,1.772
0.18,1.655,421.655,18.251,18.354,98.809,99.354,0.177,3.973e-8,0.177,90,1.939,10.385,43.47,-80.54,6.338,0,0,0,84,90,1.327e5,6.676e4,235.484,0.978,9.804,NaN,324.096,NaN,1.449e4,11.132,3.547,0.487,0.364,0.023,0.1,0.533,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.053,90,12.259,963.797,0.001,338.728,0.055,6.646e6,20.32,324.293,0.01,0.072,0.002,1.981
0.19,1.842,421.842,19.238,19.346,98.518,99.061,0.197,4.211e-8,0.197,90,2.042,10.355,43.47,-80.54,5.992,0,0,0,84,90,1.327e5,6.67e4,235.476,0.978,9.804,NaN,324.209,NaN,1.444e4,11.102,3.878,0.484,0.361,0.023,0.1,0.526,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.044,90,12.258,963.775,0.001,338.727,0.058,6.996e6,20.32,324.293,0.01,0.073,0.002,2.201
0.2,2.04,422.04,20.221,20.335,98.226,98.767,0.218,4.45e-8,0.218,90,2.146,10.324,43.47,-80.54,5.681,0,0,0,84,90,1.326e5,6.664e4,235.469,0.978,9.804,NaN,324.321,NaN,1.44e4,11.072,4.222,0.482,0.358,0.023,0.1,0.519,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.035,90,12.257,963.752,0.001,338.726,0.061,7.345e6,20.32,324.293,0.01,0.075,0.002,2.432
0.21,2.247,422.247,21.203,21.322,98.04,98.58,0.24,4.688e-8,0.24,90,2.249,10.304,43.47,-80.54,5.381,0,0,0,84,90,1.326e5,6.659e4,235.459,0.977,9.804,NaN,324.403,NaN,1.437e4,11.054,4.579,0.479,0.356,0.023,0.1,0.513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.019,90,12.255,963.728,0.001,338.726,0.064,7.694e6,20.32,324.293,0.01,0.077,0.002,2.674
0.22,2.464,422.464,22.182,22.307,97.854,98.393,0.263,4.926e-8,0.263,90,2.352,10.285,43.47,-80.54,5.108,0,0,0,84,90,1.325e5,6.654e4,235.448,0.977,9.804,NaN,324.484,NaN,1.434e4,11.035,4.949,0.477,0.353,0.023,0.1,0.508,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.003,90,12.254,963.702,0.001,338.725,0.067,8.041e6,20.32,324.293,0.01,0.079,0.002,2.927
0.23,2.691,422.691,23.16,23.29,97.667,98.205,0.287,5.165e-8,0.287,90,2.455,10.265,43.47,-80.54,4.859,0,0,0,84,90,1.325e5,6.649e4,235.438,0.977,9.804,NaN,324.565,NaN,1.431e4,11.016,5.334,0.475,0.351,0.023,0.1,0.503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.988,90,12.253,963.675,0.001,338.724,0.07,8.388e6,20.32,324.293,0.01,0.08,0.002,3.19
0.24,2.927,422.927,24.135,24.27,97.415,97.952,0.312,5.403e-8,0.312,90,2.557,10.239,43.47,-80.54,4.629,0,0,0,84,90,1.324e5,6.641e4,235.42,0.977,9.804,NaN,324.681,NaN,1.426e4,10.99,5.732,0.473,0.349,0.023,0.1,0.498,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.972,90,12.251,963.648,0.001,338.723,0.072,8.735e6,20.32,324.293,0.01,0.082,0.003,3.464
0.25,3.173,423.173,25.108,25.249,97.162,97.698,0.338,5.641e-8,0.338,90,2.659,10.212,43.47,-80.54,4.417,0,0,0,84,90,1.323e5,6.633e4,235.403,0.976,9.804,NaN,324.796,NaN,1.422e4,10.965,6.144,0.471,0.347,0.023,0.101,0.494,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.957,90,12.249,963.619,0.001,338.722,0.075,9.08e6,20.32,324.293,0.01,0.083,0.003,3.749
0.26,3.429,423.429,26.079,26.225,97.024,97.559,0.366,5.88e-8,0.366,90,2.761,10.198,43.47,-80.54,4.243,0,0,0,84,90,1.323e5,6.628e4,235.387,0.976,9.804,NaN,324.869,NaN,1.42e4,10.951,6.573,0.469,0.345,0.023,0.101,0.491,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.951,90,12.248,963.589,0.001,338.721,0.078,9.426e6,20.32,324.293,0.01,0.085,0.003,4.045
0.27,3.695,423.695,27.049,27.2,96.886,97.42,0.394,6.118e-8,0.394,90,2.863,10.183,43.47,-80.54,4.082,0,0,0,84,90,1.322e5,6.622e4,235.372,0.976,9.804,NaN,324.941,NaN,1.417e4,10.937,7.015,0.467,0.343,0.023,0.101,0.487,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.946,90,12.246,963.558,0.001,338.72,0.081,9.771e6,20.32,324.293,0.01,0.086,0.003,4.351
0.28,3.97,423.97,28.017,28.173,96.748,97.281,0.423,6.356e-8,0.423,90,2.965,10.169,43.47,-80.54,3.932,0,0,0,84,90,1.321e5,6.617e4,235.356,0.975,9.804,NaN,325.014,NaN,1.415e4,10.923,7.472,0.465,0.341,0.023,0.101,0.484,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.94,90,12.244,963.525,0.001,338.719,0.084,1.012e7,20.32,324.293,0.01,0.088,0.003,4.668
0.29,4.255,424.255,28.984,29.145,96.609,97.141,0.453,6.595e-8,0.453,90,3.067,10.154,43.47,-80.54,3.791,0,0,0,84,90,1.321e5,6.611e4,235.341,0.975,9.804,NaN,325.087,NaN,1.413e4,10.91,7.942,0.464,0.34,0.023,0.101,0.481,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.935,90,12.242,963.492,0.001,338.718,0.087,1.046e7,20.32,324.293,0.01,0.091,0.003,4.995
0.3,4.55,424.55,29.949,30.116,96.483,97.015,0.484,6.833e-8,0.484,90,3.168,10.141,43.47,-80.54,3.66,0,0,0,84,90,1.32e5,6.604e4,235.318,0.975,9.804,NaN,325.168,NaN,1.41e4,10.897,8.425,0.462,0.338,0.023,0.101,0.479,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.93,90,12.24,963.457,0.001,338.717,0.09,1.08e7,20.32,324.293,0.01,0.095,0.003,5.333
0.31,4.854,424.854,30.913,31.086,96.357,96.888,0.516,7.072e-8,0.516,90,3.27,10.128,43.47,-80.54,3.566,0,0,0,84,90,1.319e5,6.597e4,235.295,0.974,9.804,NaN,325.249,NaN,1.408e4,10.885,8.928,0.461,0.337,0.023,0.101,0.476,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.94,90,12.238,963.422,0.001,338.715,0.093,1.115e7,20.32,324.293,0.01,0.097,0.003,5.682
0.32,5.168,425.168,31.876,32.054,96.237,96.767,0.55,7.31e-8,0.55,90,3.371,10.115,43.47,-80.54,3.477,0,0,0,84,90,1.319e5,6.592e4,235.279,0.974,9.804,NaN,325.316,NaN,1.406e4,10.873,9.445,0.459,0.335,0.023,0.101,0.474,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.95,90,12.236,963.385,0.001,338.714,0.095,1.149e7,20.32,324.293,0.01,0.1,0.003,6.041
0.33,5.492,425.492,32.838,33.021,96.117,96.646,0.584,7.548e-8,0.584,90,3.472,10.102,43.47,-80.54,3.393,0,0,0,84,90,1.318e5,6.586e4,235.262,0.974,9.804,NaN,325.384,NaN,1.404e4,10.861,9.975,0.458,0.334,0.023,0.101,0.472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.96,90,12.234,963.347,0.001,338.713,0.098,1.184e7,20.32,324.293,0.01,0.102,0.004,6.411
0.34,5.825,425.825,33.799,33.987,95.996,96.525,0.619,7.787e-8,0.619,90,3.573,10.09,43.47,-80.54,3.315,0,0,0,84,90,1.318e5,6.581e4,235.246,0.973,9.804,NaN,325.451,NaN,1.402e4,10.849,10.519,0.457,0.332,0.023,0.101,0.47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.971,90,12.232,963.308,0.001,338.712,0.101,1.218e7,20.32,324.293,0.01,0.104,0.004,6.792
0.35,6.168,426.168,34.758,34.951,95.875,96.403,0.655,8.025e-8,0.655,90,3.674,10.077,43.47,-80.54,3.24,0,0,0,84,90,1.317e5,6.576e4,235.23,0.973,9.804,NaN,325.518,NaN,1.399e4,10.837,11.075,0.455,0.331,0.023,0.101,0.468,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.981,90,12.23,963.268,0.001,338.71,0.104,1.252e7,20.32,324.293,0.01,0.105,0.004,7.182
0.36,6.52,426.52,35.716,35.915,95.706,96.233,0.692,8.263e-8,0.692,90,3.774,10.059,43.47,-80.54,3.161,0,0,0,84,90,1.317e5,6.57e4,235.219,0.973,9.804,NaN,325.593,NaN,1.397e4,10.82,11.643,0.454,0.33,0.023,0.101,0.467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.985,90,12.228,963.226,0.001,338.709,0.107,1.286e7,20.32,324.293,0.01,0.106,0.004,7.583
0.37,6.882,426.882,36.672,36.876,95.537,96.064,0.731,8.502e-8,0.731,90,3.875,10.041,43.47,-80.54,3.086,0,0,0,84,90,1.316e5,6.565e4,235.208,0.973,9.804,NaN,325.668,NaN,1.394e4,10.803,12.224,0.453,0.328,0.024,0.101,0.465,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.99,90,12.225,963.184,0.001,338.707,0.11,1.321e7,20.32,324.293,0.01,0.107,0.004,7.995
0.38,7.253,427.253,37.627,37.836,95.368,95.894,0.77,8.74e-8,0.77,90,3.975,10.024,43.47,-80.54,3.014,0,0,0,84,90,1.316e5,6.56e4,235.196,0.972,9.804,NaN,325.743,NaN,1.391e4,10.786,12.818,0.452,0.327,0.024,0.101,0.463,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.994,90,12.223,963.14,0.001,338.706,0.112,1.355e7,20.32,324.293,0.01,0.11,0.004,8.416
0.39,7.634,427.634,38.579,38.794,95.207,95.732,0.81,8.978e-8,0.81,90,4.075,10.007,43.47,-80.54,2.946,0,0,0,84,90,1.315e5,6.552e4,235.175,0.972,9.803,NaN,325.832,NaN,1.388e4,10.77,13.424,0.451,0.326,0.024,0.101,0.462,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.998,90,12.22,963.096,0.001,338.704,0.115,1.389e7,20.32,324.293,0.01,0.113,0.004,8.847
0.4,8.025,428.025,39.531,39.751,95.046,95.569,0.851,9.217e-8,0.851,90,4.175,9.99,43.47,-80.54,2.882,0,0,0,84,90,1.314e5,6.545e4,235.154,0.972,9.803,NaN,325.922,NaN,1.386e4,10.754,14.043,0.45,0.325,0.024,0.101,0.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.002,90,12.218,963.05,0.001,338.703,0.118,1.423e7,20.32,324.293,0.01,0.114,0.004,9.288
0.41,8.425,428.425,40.481,40.706,94.894,95.509,0.894,9.455e-8,0.894,90,4.275,10.825,43.47,-80.54,2.831,0,0,0,84,90,1.314e5,6.54e4,235.135,0.971,9.803,413.39,325.973,4.302,1.384e4,10.748,14.678,0.449,0.324,0.024,0.102,0.459,0.712,3.065,-2.442e-4,0,0,0,0,0,2.014,90,12.215,963.003,0.001,338.701,0.121,1.457e7,20.32,324.293,0.015,0.116,0.004,9.74
0.425,9.043,429.043,41.903,42.138,94.799,95.413,0.959,1.47e-7,0.959,90,4.437,10.808,43.47,-80.54,2.775,0,0.075,3.165e-7,83.999,90,1.313e5,6.532e4,235.108,0.971,9.803,413.678,326.05,4.312,1.382e4,10.739,15.66,0.447,0.322,0.024,0.102,0.457,0.697,3.006,-3.31e-4,0,0,0,0,2.895e-5,2.031,90,12.211,962.93,0.001,338.699,0.125,1.507e7,20.32,324.293,0.005,0.117,0.004,10.436
0.43,9.254,429.254,42.377,42.615,94.768,95.381,0.981,1.865e-7,0.981,90,4.491,10.803,43.47,-80.54,2.757,0,0.1,1.288e-6,83.999,90,1.313e5,6.53e4,235.099,0.971,9.803,413.771,326.076,4.316,1.382e4,10.736,15.993,0.447,0.322,0.024,0.102,0.456,0.692,2.986,-1.578e-4,0,0,0,0,5.116e-5,2.037,90,12.21,962.906,0.001,338.698,0.127,1.524e7,20.32,324.293,0.007,0.118,0.005,10.674
0.437,9.574,429.574,43.088,43.33,94.668,95.281,1.015,2.669e-7,1.015,90,4.572,10.789,43.47,-80.54,2.731,0,0.14,3.522e-6,83.998,90,1.312e5,6.525e4,235.085,0.971,9.803,413.909,326.132,4.32,1.38e4,10.726,16.5,0.446,0.321,0.024,0.102,0.456,0.685,2.957,-3.157e-4,0,0,0,0,9.587e-5,2.046,90,12.208,962.868,0.001,338.697,0.129,1.55e7,20.32,324.293,0.011,0.12,0.005,11.035
0.449,10.065,430.065,44.152,44.401,94.518,95.13,1.067,4.359e-7,1.067,90,4.694,10.771,43.47,-80.54,2.692,0,0.2,0,83.996,90,1.312e5,6.518e4,235.064,0.97,9.803,414.111,326.216,4.326,1.377e4,10.711,17.273,0.445,0.32,0.024,0.102,0.454,0.674,2.915,-6.058e-6,0,0,0,0,1.88e-4,2.059,90,12.205,962.811,0.001,338.695,0.132,1.588e7,20.32,324.293,0.017,0.121,0.005,11.586
0.466,10.823,430.823,45.745,46.004,94.292,94.903,1.148,8.013e-7,1.148,90,4.875,10.75,43.47,-80.54,2.579,0,0.294,5.356e-6,83.992,90,1.31e5,6.507e4,235.033,0.97,9.803,414.691,326.342,4.348,1.373e4,10.689,18.443,0.444,0.318,0.024,0.102,0.452,0.643,2.794,1.468e-4,0,0,0,0,3.781e-4,2.033,90,12.2,962.722,0.001,338.692,0.137,1.645e7,20.32,324.293,0.004,0.122,0.005,12.437
0.47,11.024,431.024,46.157,46.419,94.233,94.844,1.17,9.184e-7,1.17,90,4.922,10.745,43.47,-80.54,2.55,0,0.319,3.298e-6,83.991,90,1.31e5,6.504e4,235.025,0.969,9.803,414.844,326.375,4.354,1.372e4,10.683,18.752,0.444,0.318,0.024,0.102,0.452,0.635,2.763,3.508e-4,0,0,0,0,4.366e-4,2.025,90,12.198,962.698,0.001,338.691,0.138,1.659e7,20.32,324.293,0.007,0.125,0.005,12.662
0.477,11.329,431.329,46.775,47.041,94.077,94.687,1.202,1.112e-6,1.202,90,4.993,10.731,43.47,-80.54,2.506,0,0.357,2.543e-6,83.988,90,1.31e5,6.501e4,235.025,0.969,9.803,415.069,326.424,4.362,1.37e4,10.668,19.219,0.443,0.317,0.024,0.102,0.451,0.623,2.716,2.388e-4,0,0,0,0,5.309e-4,2.013,90,12.196,962.662,0.001,338.69,0.14,1.681e7,20.32,324.293,0.01,0.129,0.005,13.004
0.486,11.794,431.794,47.7,47.972,93.842,94.451,1.252,1.442e-6,1.252,90,5.098,10.711,43.47,-80.54,2.443,0,0.413,6.406e-6,83.985,90,1.309e5,6.497e4,235.026,0.969,9.803,415.399,326.499,4.375,1.366e4,10.644,19.928,0.442,0.316,0.024,0.102,0.45,0.605,2.648,3.198e-4,0,0,0,0,6.864e-4,1.995,90,12.193,962.608,0.001,338.688,0.142,1.714e7,20.32,324.293,0.004,0.133,0.005,13.523
0.49,11.966,431.966,48.037,48.311,93.756,94.365,1.27,1.575e-6,1.27,90,5.137,10.704,43.47,-80.54,2.42,0,0.434,4.767e-6,83.983,90,1.309e5,6.496e4,235.026,0.969,9.803,415.518,326.526,4.38,1.365e4,10.636,20.19,0.442,0.316,0.024,0.102,0.449,0.599,2.623,5.52e-5,0,0,0,0,7.472e-4,1.989,90,12.192,962.588,0.001,338.687,0.143,1.726e7,20.32,324.293,0.005,0.136,0.005,13.714
0.495,12.227,432.227,48.543,48.82,93.724,94.333,1.298,1.787e-6,1.298,90,5.194,10.703,43.47,-80.54,2.387,0,0.466,4.748e-6,83.981,90,1.309e5,6.492e4,235.011,0.969,9.803,415.695,326.561,4.386,1.364e4,10.633,20.586,0.442,0.315,0.024,0.102,0.449,0.59,2.588,-4.176e-4,0,0,0,0,8.422e-4,1.979,90,12.191,962.557,0.001,338.686,0.145,1.744e7,20.32,324.293,0.008,0.138,0.005,14.004
0.503,12.622,432.622,49.3,49.582,93.676,94.285,1.34,2.132e-6,1.34,90,5.281,10.703,43.47,-80.54,2.347,0,0.514,1.262e-5,83.977,90,1.308e5,6.486e4,234.99,0.969,9.803,415.905,326.613,4.394,1.363e4,10.628,21.19,0.441,0.315,0.024,0.102,0.448,0.579,2.545,3.543e-4,0,0,0,0,9.929e-4,1.973,90,12.188,962.511,0.001,338.685,0.147,1.771e7,20.32,324.293,0.012,0.141,0.005,14.445
0.516,13.227,433.227,50.436,50.725,93.603,94.212,1.405,2.715e-6,1.405,90,5.411,10.701,43.47,-80.54,2.308,0,0.587,6.914e-6,83.97,90,1.308e5,6.478e4,234.957,0.968,9.803,416.116,326.692,4.401,1.362e4,10.622,22.119,0.44,0.314,0.024,0.102,0.447,0.569,2.503,2.135e-4,0,0,0,0,0.001,1.981,90,12.184,962.44,0.001,338.682,0.151,1.812e7,20.32,324.293,0.004,0.143,0.005,15.117
0.52,13.45,433.45,50.847,51.139,93.576,94.186,1.429,2.946e-6,1.429,90,5.458,10.701,43.47,-80.54,2.295,0,0.614,7.666e-6,83.967,90,1.307e5,6.475e4,234.945,0.968,9.803,416.192,326.72,4.403,1.361e4,10.619,22.46,0.44,0.313,0.024,0.102,0.446,0.565,2.488,-3.28e-4,0,0,0,0,0.001,1.985,90,12.183,962.414,0.001,338.682,0.152,1.826e7,20.32,324.293,0.007,0.146,0.005,15.365
0.527,13.787,433.787,51.464,51.76,93.509,94.119,1.465,3.312e-6,1.465,90,5.528,10.698,43.47,-80.54,2.274,0,0.656,1.151e-5,83.963,90,1.307e5,6.472e4,234.936,0.968,9.803,416.306,326.757,4.407,1.36e4,10.613,22.976,0.439,0.313,0.024,0.102,0.446,0.56,2.466,4.149e-4,0,0,0,0,0.001,1.989,90,12.18,962.374,0.001,338.68,0.154,1.848e7,20.32,324.293,0.01,0.147,0.006,15.74
