# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²),MaxQ (kg / ( m* s^2 ))
0,0,420.014,0,0,0,0,0,0,0,0,0,0,47.965,-81.874,90.257,0,0,0,84,280,1.254e5,6.372e4,238.486,0.921,9.808,NaN,341.348,NaN,0,0,-1.607e-7,0.535,0.42,0.01,0.106,-1.211e-7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.322,12.46,18,987.583,0.001,342.207,0.024,2.994e6,20.32,324.293,0.01,0.03,0,0
0.01,0,420.014,0.007,0.008,4.316,4.568,0,0,0,0,0.002,1.498,47.965,-81.874,90.206,0,0,0,84,280,1.253e5,6.365e4,238.451,0.921,9.808,NaN,341.428,NaN,1779.25,1.448,-8.28e-8,0.535,0.42,0.01,0.106,-6.24e-8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.322,12.46,18,987.583,0.001,342.207,0.024,2.994e6,20.32,324.293,0.012,0.053,7.721e-7,3.425e-5
0.022,8.215e-4,420.015,0.163,0.166,21.436,21.688,-1.828e-4,1.848e-5,1.838e-4,275.771,0.031,3.293,47.965,-81.874,89.118,0,0,0,84,280,1.252e5,6.357e4,238.41,0.921,9.808,NaN,341.524,NaN,3933.41,3.203,6.45e-6,0.535,0.42,0.01,0.106,4.862e-6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.322,12.46,18,987.583,0.001,342.207,0.024,2.994e6,20.32,324.293,0.01,0.056,1.62e-5,0.016
0.032,0.004,420.018,0.448,0.454,35.594,35.914,-6.834e-4,7.91e-5,6.88e-4,276.602,0.072,4.78,47.965,-81.874,87.138,0,0,0,84,280,1.251e5,6.35e4,238.386,0.92,9.808,NaN,341.634,NaN,5712.66,4.655,2.162e-4,0.535,0.42,0.01,0.106,1.627e-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.323,12.46,18,987.582,0.001,342.207,0.024,2.996e6,20.32,324.293,0.012,0.059,4.403e-5,0.122
0.044,0.012,420.027,0.985,0.995,52.803,53.213,-0.002,2.474e-4,0.002,277.265,0.141,6.588,47.965,-81.874,83.437,0,0,0,84,280,1.251e5,6.342e4,238.358,0.92,9.808,NaN,341.767,NaN,7872.802,6.419,0.003,0.534,0.419,0.01,0.106,0.002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.323,12.46,18,987.581,0.001,342.207,0.024,3.012e6,20.32,324.293,0.01,0.062,9.625e-5,0.585
0.054,0.025,420.039,1.584,1.598,67.102,67.472,-0.004,4.946e-4,0.004,277.643,0.214,7.053,47.965,-81.874,79.373,0,0,0,84,280,1.25e5,6.336e4,238.365,0.92,9.808,NaN,341.961,NaN,9652.052,7.874,0.01,0.533,0.418,0.01,0.106,0.008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.323,12.459,18,987.58,0.001,342.207,0.025,3.044e6,20.32,324.293,0.012,0.064,1.545e-4,1.509
0.066,0.049,420.063,2.473,2.492,83.847,84.309,-0.007,9.471e-4,0.007,278.038,0.308,8.813,47.965,-81.874,73.555,0,0,0,84,280,1.249e5,6.328e4,238.374,0.919,9.808,NaN,342.189,NaN,1.175e4,9.591,0.038,0.532,0.416,0.01,0.106,0.026,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.324,12.458,18,987.577,0.001,342.207,0.025,3.119e6,20.32,324.293,0.01,0.067,2.406e-4,3.67
0.076,0.078,420.092,3.35,3.374,91.53,92.034,-0.01,0.001,0.01,278.337,0.4,9.62,47.965,-81.874,68.142,0,0,0,84,280,1.248e5,6.321e4,238.348,0.919,9.808,NaN,342.284,NaN,1.271e4,10.379,0.088,0.529,0.414,0.01,0.106,0.057,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.325,12.457,17.999,987.574,0.001,342.207,0.026,3.224e6,20.32,324.293,0.01,0.07,3.255e-4,6.725
0.086,0.116,420.13,4.304,4.333,99.221,99.767,-0.015,0.002,0.015,278.583,0.5,10.429,47.965,-81.874,62.689,0,0,0,84,280,1.248e5,6.314e4,238.322,0.919,9.808,NaN,342.378,NaN,1.367e4,11.167,0.173,0.526,0.411,0.01,0.106,0.103,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.327,12.456,17.999,987.569,0.001,342.206,0.027,3.368e6,20.32,324.293,0.012,0.072,4.178e-4,11.092
0.098,0.174,420.188,5.523,5.559,108.27,108.867,-0.021,0.003,0.021,278.81,0.628,11.38,47.965,-81.874,56.432,0,0,0,84,280,1.247e5,6.307e4,238.291,0.918,9.808,NaN,342.489,NaN,1.479e4,12.095,0.33,0.521,0.406,0.01,0.106,0.173,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.329,12.453,17.999,987.562,0.001,342.206,0.029,3.592e6,20.32,324.293,0.01,0.074,5.359e-4,18.257
0.108,0.234,420.249,6.605,6.647,108.091,108.686,-0.028,0.004,0.028,278.962,0.742,11.361,47.965,-81.874,51.546,0,0,0,84,280,1.246e5,6.3e4,238.269,0.918,9.808,NaN,342.59,NaN,1.476e4,12.077,0.514,0.517,0.402,0.01,0.106,0.238,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.331,12.451,17.998,987.555,0.001,342.206,0.031,3.823e6,20.32,324.293,0.01,0.075,6.407e-4,26.1
0.118,0.306,420.32,7.685,7.732,107.91,108.505,-0.036,0.006,0.036,279.085,0.855,11.342,47.965,-81.874,47.252,0,0,0,84,280,1.246e5,6.293e4,238.246,0.917,9.808,NaN,342.691,NaN,1.473e4,12.058,0.739,0.512,0.397,0.01,0.106,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.334,12.448,17.998,987.547,0.001,342.206,0.033,4.079e6,20.32,324.293,0.007,0.077,7.453e-4,35.325
0.125,0.365,420.38,8.481,8.533,107.777,108.37,-0.042,0.007,0.043,279.16,0.939,11.328,47.965,-81.874,44.427,0,0,0,84,280,1.245e5,6.288e4,238.229,0.917,9.808,NaN,342.766,NaN,1.471e4,12.045,0.929,0.509,0.394,0.01,0.106,0.343,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.336,12.445,17.997,987.54,0.001,342.205,0.035,4.28e6,20.32,324.293,0.01,0.079,8.224e-4,43.017
0.135,0.456,420.47,9.556,9.614,107.182,107.773,-0.052,0.008,0.053,279.246,1.052,11.265,47.965,-81.874,41.021,0,0,0,84,280,1.244e5,6.282e4,238.23,0.917,9.808,NaN,342.926,NaN,1.463e4,11.984,1.216,0.505,0.39,0.01,0.106,0.394,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.339,12.441,17.997,987.529,0.001,342.205,0.037,4.566e6,20.32,324.293,0.012,0.081,9.265e-4,54.603
0.147,0.577,420.592,10.831,10.895,106.472,107.059,-0.065,0.011,0.066,279.329,1.186,11.191,47.965,-81.874,37.512,0,0,0,84,280,1.244e5,6.274e4,238.232,0.916,9.808,NaN,343.118,NaN,1.453e4,11.912,1.598,0.5,0.385,0.01,0.106,0.445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.344,12.436,17.996,987.515,0.001,342.204,0.04,4.925e6,20.32,324.293,0.01,0.083,0.001,70.133
0.157,0.691,420.705,11.893,11.963,105.963,106.546,-0.078,0.013,0.079,279.386,1.298,11.137,47.965,-81.874,34.963,0,0,0,84,280,1.243e5,6.267e4,238.22,0.916,9.808,NaN,343.242,NaN,1.446e4,11.86,1.948,0.496,0.381,0.01,0.106,0.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.348,12.432,17.995,987.501,0.001,342.204,0.043,5.235e6,20.32,324.293,0.01,0.084,0.001,84.556
0.167,0.815,420.829,12.95,13.026,105.453,106.034,-0.091,0.015,0.092,279.435,1.409,11.084,47.965,-81.874,32.716,0,0,0,84,280,1.242e5,6.261e4,238.209,0.916,9.808,NaN,343.365,NaN,1.439e4,11.808,2.322,0.492,0.377,0.01,0.106,0.509,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.353,12.426,17.994,987.487,0.001,342.203,0.045,5.554e6,20.32,324.293,0.006,0.087,0.001,100.247
0.173,0.89,420.905,13.547,13.627,105.163,105.742,-0.099,0.016,0.1,279.459,1.471,11.053,47.965,-81.874,31.558,0,0,0,84,280,1.242e5,6.257e4,238.203,0.916,9.808,NaN,343.435,NaN,1.435e4,11.778,2.545,0.49,0.375,0.01,0.106,0.522,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.356,12.423,17.994,987.478,0.001,342.203,0.047,5.737e6,20.32,324.293,0.009,0.089,0.001,109.706
0.181,1.009,421.024,14.441,14.526,104.911,105.489,-0.112,0.019,0.113,279.492,1.565,11.027,47.965,-81.874,29.959,0,0,0,84,280,1.241e5,6.252e4,238.188,0.915,9.808,NaN,343.523,NaN,1.431e4,11.753,2.892,0.487,0.372,0.01,0.106,0.54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.36,12.418,17.993,987.464,0.001,342.203,0.049,6.016e6,20.32,324.293,0.01,0.091,0.001,124.654
0.191,1.159,421.173,15.489,15.579,104.614,105.19,-0.128,0.021,0.129,279.526,1.676,10.995,47.965,-81.874,28.267,0,0,0,84,280,1.241e5,6.245e4,238.17,0.915,9.808,NaN,343.626,NaN,1.427e4,11.723,3.319,0.484,0.368,0.01,0.106,0.556,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.366,12.412,17.992,987.446,0.001,342.202,0.052,6.348e6,20.32,324.293,0.003,0.092,0.002,143.387
0.195,1.211,421.226,15.839,15.931,104.514,105.09,-0.133,0.022,0.135,279.536,1.712,10.985,47.965,-81.874,27.74,0,0,0,84,280,1.241e5,6.243e4,238.164,0.915,9.808,NaN,343.66,NaN,1.425e4,11.712,3.466,0.483,0.367,0.01,0.106,0.561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.368,12.41,17.991,987.44,0.001,342.202,0.052,6.46e6,20.32,324.293,0.005,0.095,0.002,149.94
0.2,1.292,421.307,16.363,16.459,104.311,104.885,-0.142,0.024,0.144,279.551,1.767,10.963,47.965,-81.874,26.985,0,0,0,84,280,1.24e5,6.24e4,238.154,0.915,9.808,NaN,343.709,NaN,1.422e4,11.692,3.69,0.481,0.366,0.01,0.106,0.567,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.371,12.407,17.991,987.431,0.001,342.201,0.054,6.629e6,20.32,324.293,0.008,0.097,0.002,160.029
0.207,1.419,421.433,17.148,17.248,104.005,104.578,-0.155,0.026,0.157,279.571,1.85,10.931,47.965,-81.874,25.926,0,0,0,84,280,1.24e5,6.235e4,238.139,0.914,9.808,NaN,343.782,NaN,1.418e4,11.661,4.035,0.479,0.363,0.01,0.106,0.575,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.375,12.401,17.99,987.416,0.001,342.201,0.056,6.884e6,20.32,324.293,0.009,0.099,0.002,175.739
0.217,1.584,421.599,18.124,18.229,103.624,104.195,-0.173,0.029,0.175,279.595,1.953,10.891,47.965,-81.874,24.714,0,0,0,84,280,1.239e5,6.229e4,238.121,0.914,9.808,NaN,343.873,NaN,1.412e4,11.622,4.479,0.476,0.361,0.01,0.106,0.583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.382,12.395,17.989,987.396,0.001,342.2,0.059,7.204e6,20.32,324.293,0.01,0.101,0.002,196.309
0.227,1.771,421.785,19.16,19.27,103.451,104.021,-0.193,0.033,0.195,279.617,2.061,10.873,47.965,-81.874,23.542,0,0,0,84,280,1.239e5,6.223e4,238.097,0.914,9.808,NaN,343.957,NaN,1.41e4,11.605,4.967,0.473,0.358,0.01,0.106,0.589,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.388,12.387,17.988,987.374,0.001,342.199,0.061,7.547e6,20.32,324.293,0.01,0.102,0.002,219.368
0.237,1.968,421.982,20.193,20.31,103.278,103.847,-0.214,0.036,0.217,279.636,2.17,10.855,47.965,-81.874,22.475,0,0,0,84,280,1.238e5,6.216e4,238.074,0.913,9.808,NaN,344.041,NaN,1.407e4,11.587,5.47,0.471,0.355,0.01,0.106,0.593,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.396,12.379,17.986,987.351,0.001,342.199,0.064,7.892e6,20.32,324.293,0.012,0.103,0.002,243.664
0.248,2.209,422.223,21.39,21.513,103.076,103.644,-0.239,0.041,0.242,279.657,2.296,10.834,47.965,-81.874,21.353,0,0,0,84,280,1.237e5,6.209e4,238.047,0.913,9.808,NaN,344.138,NaN,1.404e4,11.567,6.073,0.468,0.352,0.01,0.106,0.596,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.405,12.369,17.984,987.323,0.001,342.197,0.067,8.295e6,20.32,324.293,0.01,0.105,0.002,273.385
0.258,2.428,422.442,22.42,22.549,102.899,103.466,-0.262,0.045,0.266,279.673,2.404,10.815,47.965,-81.874,20.472,0,0,0,84,280,1.237e5,6.202e4,238.019,0.913,9.808,NaN,344.212,NaN,1.401e4,11.55,6.609,0.466,0.35,0.01,0.106,0.597,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.413,12.36,17.983,987.297,0.001,342.197,0.07,8.644e6,20.32,324.293,0.01,0.106,0.002,300.332
0.268,2.657,422.671,23.447,23.581,102.722,103.288,-0.286,0.049,0.291,279.687,2.512,10.797,47.965,-81.874,19.663,0,0,0,84,280,1.236e5,6.196e4,237.992,0.912,9.808,NaN,344.285,NaN,1.398e4,11.532,7.157,0.463,0.348,0.01,0.106,0.598,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.422,12.351,17.981,987.27,0.001,342.196,0.073,8.993e6,20.32,324.293,0.01,0.107,0.002,328.459
0.278,2.896,422.911,24.473,24.613,102.489,103.053,-0.312,0.053,0.316,279.7,2.62,10.772,47.965,-81.874,18.916,0,0,0,84,280,1.235e5,6.189e4,237.967,0.912,9.808,NaN,344.363,NaN,1.394e4,11.508,7.72,0.461,0.345,0.01,0.106,0.597,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.43,12.341,17.98,987.242,0.001,342.195,0.076,9.345e6,20.32,324.293,0.01,0.109,0.002,357.821
0.288,3.146,423.161,25.497,25.642,102.255,102.819,-0.338,0.058,0.343,279.712,2.727,10.747,47.965,-81.874,18.225,0,0,0,84,280,1.235e5,6.183e4,237.942,0.912,9.808,NaN,344.44,NaN,1.391e4,11.485,8.296,0.459,0.343,0.01,0.106,0.596,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.44,12.331,17.978,987.212,0.001,342.193,0.079,9.697e6,20.32,324.293,0.012,0.11,0.002,388.367
0.3,3.447,423.461,26.674,26.826,101.986,102.548,-0.37,0.063,0.375,279.725,2.851,10.719,47.965,-81.874,17.492,0,0,0,84,280,1.234e5,6.176e4,237.913,0.911,9.808,NaN,344.53,NaN,1.387e4,11.458,8.975,0.457,0.341,0.01,0.106,0.594,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.451,12.318,17.976,987.177,0.001,342.192,0.082,1.01e7,20.32,324.293,0.01,0.111,0.003,425.029
0.31,3.719,423.733,27.692,27.85,101.714,102.274,-0.398,0.068,0.404,279.736,2.958,10.691,47.965,-81.874,16.904,0,0,0,84,280,1.233e5,6.169e4,237.894,0.911,9.808,NaN,344.62,NaN,1.383e4,11.43,9.576,0.455,0.339,0.01,0.106,0.592,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.461,12.307,17.974,987.145,0.001,342.191,0.085,1.046e7,20.32,324.293,0.01,0.113,0.003,458.089
0.32,4.001,424.015,28.708,28.871,101.442,102.001,-0.428,0.073,0.434,279.745,3.065,10.662,47.965,-81.874,16.357,0,0,0,84,280,1.233e5,6.163e4,237.876,0.911,9.808,NaN,344.711,NaN,1.378e4,11.403,10.185,0.453,0.337,0.01,0.106,0.589,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.472,12.296,17.972,987.112,0.001,342.19,0.088,1.081e7,20.32,324.293,0.003,0.114,0.003,492.293
0.323,4.084,424.098,28.999,29.164,101.364,101.922,-0.437,0.075,0.443,279.748,3.096,10.654,47.965,-81.874,16.207,0,0,0,84,280,1.232e5,6.161e4,237.87,0.911,9.808,NaN,344.737,NaN,1.377e4,11.395,10.36,0.453,0.337,0.01,0.106,0.588,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.475,12.293,17.971,987.102,0.001,342.189,0.089,1.091e7,20.32,324.293,0.004,0.116,0.003,502.329
0.327,4.21,424.224,29.436,29.603,101.264,101.821,-0.45,0.077,0.457,279.751,3.141,10.643,47.965,-81.874,15.987,0,0,0,84,280,1.232e5,6.158e4,237.86,0.91,9.808,NaN,344.769,NaN,1.376e4,11.385,10.625,0.452,0.336,0.01,0.106,0.586,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.48,12.288,17.97,987.087,0.001,342.189,0.09,1.106e7,20.32,324.293,0.006,0.117,0.003,517.56
0.333,4.402,424.416,30.09,30.261,101.113,101.67,-0.47,0.081,0.477,279.757,3.21,10.627,47.965,-81.874,15.669,0,0,0,84,280,1.232e5,6.154e4,237.844,0.91,9.808,NaN,344.818,NaN,1.374e4,11.37,11.023,0.451,0.335,0.01,0.106,0.584,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.487,12.28,17.969,987.065,0.001,342.188,0.092,1.129e7,20.32,324.293,0.011,0.118,0.003,540.803
0.344,4.732,424.747,31.179,31.356,100.862,101.418,-0.505,0.087,0.512,279.766,3.325,10.601,47.965,-81.874,15.168,0,0,0,84,280,1.231e5,6.148e4,237.818,0.91,9.808,NaN,344.899,NaN,1.37e4,11.345,11.694,0.449,0.333,0.01,0.106,0.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.499,12.267,17.967,987.026,0.001,342.187,0.095,1.167e7,20.32,324.293,0.01,0.119,0.003,580.63
0.354,5.049,425.063,32.187,32.369,100.691,101.246,-0.538,0.093,0.546,279.773,3.431,10.583,47.965,-81.874,14.733,0,0,0,84,280,1.23e5,6.141e4,237.788,0.91,9.808,NaN,344.961,NaN,1.367e4,11.328,12.324,0.448,0.332,0.01,0.107,0.576,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.511,12.254,17.964,986.988,0.001,342.185,0.098,1.202e7,20.32,324.293,0.012,0.12,0.003,618.746
0.366,5.445,425.459,33.401,33.59,100.484,101.038,-0.58,0.1,0.588,279.781,3.558,10.561,47.965,-81.874,14.242,0,0,0,84,280,1.23e5,6.134e4,237.752,0.909,9.808,NaN,345.036,NaN,1.364e4,11.307,13.094,0.446,0.33,0.01,0.107,0.571,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.526,12.238,17.962,986.942,0.001,342.184,0.101,1.245e7,20.32,324.293,0.01,0.121,0.003,666.278
0.376,5.784,425.798,34.405,34.599,100.252,100.805,-0.615,0.106,0.624,279.788,3.664,10.537,47.965,-81.874,13.863,0,0,0,84,280,1.229e5,6.127e4,237.727,0.909,9.808,NaN,345.109,NaN,1.36e4,11.284,13.742,0.445,0.328,0.01,0.107,0.566,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.538,12.225,17.959,986.902,0.001,342.182,0.104,1.28e7,20.32,324.293,0.01,0.123,0.003,706.893
0.386,6.133,426.147,35.406,35.606,100.02,100.571,-0.652,0.113,0.662,279.794,3.769,10.513,47.965,-81.874,13.504,0,0,0,84,280,1.228e5,6.121e4,237.703,0.909,9.808,NaN,345.182,NaN,1.357e4,11.261,14.398,0.443,0.327,0.01,0.107,0.562,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.551,12.211,17.957,986.861,0.001,342.181,0.107,1.316e7,20.32,324.293,0.01,0.124,0.003,748.61
0.396,6.492,426.506,36.405,36.61,99.787,100.337,-0.69,0.119,0.7,279.8,3.874,10.488,47.965,-81.874,13.167,0,0,0,84,280,1.228e5,6.115e4,237.678,0.908,9.808,NaN,345.255,NaN,1.353e4,11.238,15.063,0.442,0.325,0.01,0.107,0.558,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.565,12.197,17.954,986.819,0.001,342.179,0.11,1.351e7,20.32,324.293,0.007,0.125,0.004,791.42
0.404,6.761,426.776,37.135,37.345,99.617,100.166,-0.718,0.124,0.728,279.804,3.951,10.47,47.965,-81.874,12.931,0,0,0,84,280,1.227e5,6.11e4,237.66,0.908,9.808,NaN,345.308,NaN,1.351e4,11.22,15.557,0.441,0.324,0.01,0.107,0.554,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.575,12.186,17.952,986.787,0.001,342.178,0.112,1.377e7,20.32,324.293,0.012,0.126,0.004,823.467
0.415,7.206,427.221,38.307,38.524,99.153,99.699,-0.764,0.132,0.776,279.81,4.074,10.421,47.965,-81.874,12.571,0,0,0,84,280,1.227e5,6.103e4,237.658,0.908,9.808,NaN,345.452,NaN,1.344e4,11.174,16.361,0.44,0.323,0.01,0.107,0.549,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.591,12.168,17.949,986.734,0.001,342.176,0.115,1.418e7,20.32,324.293,0.01,0.127,0.004,876.231
0.425,7.594,427.609,39.298,39.52,99.032,99.577,-0.805,0.139,0.817,279.815,4.178,10.409,47.965,-81.874,12.284,0,0,0,84,280,1.226e5,6.096e4,237.627,0.907,9.808,NaN,345.507,NaN,1.342e4,11.162,17.053,0.439,0.322,0.01,0.107,0.545,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.606,12.153,17.947,986.689,0.001,342.174,0.118,1.453e7,20.32,324.293,0.01,0.128,0.004,922.11
0.435,7.992,428.007,40.288,40.515,98.911,99.456,-0.847,0.147,0.859,279.82,4.282,10.396,47.965,-81.874,12.011,0,0,0,84,280,1.225e5,6.09e4,237.595,0.907,9.808,NaN,345.561,NaN,1.34e4,11.15,17.755,0.437,0.32,0.01,0.107,0.541,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.621,12.138,17.944,986.642,0.001,342.173,0.121,1.488e7,20.32,324.293,0.011,0.129,0.004,969.098
0.446,8.446,428.46,41.385,41.618,98.776,99.32,-0.894,0.155,0.907,279.824,4.397,10.382,47.965,-81.874,11.723,0,0,0,84,280,1.225e5,6.083e4,237.561,0.907,9.808,NaN,345.622,NaN,1.338e4,11.137,18.548,0.436,0.319,0.01,0.107,0.537,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.638,12.12,17.941,986.589,0.001,342.171,0.124,1.527e7,20.32,324.293,0.01,0.131,0.004,1022.555
0.456,8.864,428.879,42.372,42.611,98.558,99.1,-0.938,0.162,0.952,279.829,4.501,10.359,47.965,-81.874,11.477,0,0,0,84,280,1.224e5,6.077e4,237.536,0.906,9.808,NaN,345.692,NaN,1.334e4,11.115,19.273,0.435,0.318,0.01,0.107,0.533,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.653,12.104,17.938,986.539,0.001,342.169,0.127,1.562e7,20.32,324.293,0.012,0.132,0.004,1071.845
0.468,9.377,429.391,43.546,43.791,98.185,98.85,-0.992,0.172,1.006,279.833,4.624,11.45,47.965,-81.874,11.2,0,0,0,84,280,1.223e5,6.069e4,237.508,0.906,9.808,390.947,345.775,2.223,1.33e4,11.089,20.152,0.434,0.317,0.01,0.107,0.529,3.746,8.328,3.808e-4,0,0,0,0,0,8.673,12.084,17.934,986.479,0.001,342.167,0.13,1.604e7,20.32,324.293,0.018,0.134,0.004,1132.005
0.486,10.172,430.186,45.302,45.558,98.03,98.695,-1.075,0.186,1.091,279.83,4.828,11.435,47.965,-81.874,10.783,0,0.285,3.696e-4,84,280.024,1.222e5,6.058e4,237.448,0.905,9.808,392.042,345.861,2.273,1.327e4,11.074,21.485,0.432,0.315,0.01,0.108,0.523,3.562,8.096,3.333e-5,0,0,0,0,3.8e-4,8.702,12.054,17.928,986.385,0.001,342.163,0.135,1.666e7,20.32,324.293,0.01,0.135,0.004,1225.117
0.497,10.644,430.658,46.311,46.574,97.941,98.605,-1.125,0.195,1.141,279.82,4.945,11.425,47.965,-81.874,10.555,0,0.456,9.32e-4,84,280.061,1.221e5,6.052e4,237.413,0.905,9.808,392.654,345.911,2.3,1.326e4,11.066,22.267,0.431,0.314,0.01,0.108,0.519,3.463,7.965,-2.831e-4,0,0,0,0,9.295e-4,8.72,12.036,17.925,986.33,0.001,342.161,0.138,1.702e7,20.32,324.293,0.015,0.136,0.004,1280.328
0.512,11.371,431.386,47.824,48.097,97.802,98.466,-1.201,0.207,1.219,279.795,5.121,11.409,47.965,-81.874,10.227,0,0.72,0.002,84,280.147,1.221e5,6.042e4,237.372,0.904,9.808,393.546,346.008,2.339,1.323e4,11.052,23.461,0.43,0.312,0.01,0.108,0.514,3.323,7.771,-1.497e-4,0,0,0,0,0.002,8.747,12.008,17.92,986.244,0.001,342.158,0.143,1.756e7,20.32,324.293,0.007,0.137,0.005,1365.32
0.519,11.706,431.72,48.504,48.781,97.74,98.403,-1.237,0.213,1.255,279.781,5.2,11.401,47.965,-81.874,10.086,0,0.842,0.003,84.001,280.199,1.22e5,6.038e4,237.354,0.904,9.808,393.939,346.051,2.357,1.322e4,11.046,24.006,0.429,0.311,0.01,0.108,0.512,3.262,7.686,-3.606e-4,0,0,0,0,0.003,8.76,11.995,17.918,986.205,0.001,342.157,0.145,1.78e7,20.32,324.293,0.01,0.138,0.005,1404.402
0.529,12.217,432.232,49.522,49.807,97.63,98.292,-1.291,0.222,1.31,279.757,5.318,11.388,47.965,-81.874,9.879,0,1.028,0.005,84.001,280.292,1.219e5,6.031e4,237.332,0.904,9.808,394.519,346.13,2.381,1.32e4,11.036,24.834,0.428,0.31,0.01,0.108,0.508,3.175,7.557,3.96e-4,0,0,0,0,0.004,8.779,11.976,17.914,986.145,0.001,342.155,0.148,1.816e7,20.32,324.293,0.012,0.139,0.005,1464.002
0.541,12.795,432.81,50.648,50.941,97.507,98.168,-1.352,0.232,1.372,279.726,5.449,11.372,47.965,-81.874,9.657,0,1.24,0.006,84.001,280.418,1.219e5,6.024e4,237.309,0.904,9.808,395.148,346.217,2.408,1.318e4,11.024,25.762,0.428,0.309,0.01,0.108,0.505,3.083,7.418,6.332e-5,0,0,0,0,0.006,8.8,11.954,17.91,986.077,0.001,342.152,0.151,1.856e7,20.32,324.293,0.017,0.141,0.005,1531.309
