timestamp,pololu_acc_x,pololu_acc_y,pololu_acc_z,pololu_gyr_x,pololu_gyr_y,pololu_gyr_z,pololu_mag_x,pololu_mag_y,pololu_mag_z,pololu_baro
686.5,0,0,0,0,0,0,2.313547134,-0.802758873,-0.724631488,0
691.7000122,-8.88100338,-0.028741112,-0.033531297,0.058591332,0.034089502,-0.964093745,0.599139392,-0.194830164,-0.187505722,97752.46875
697.2999878,-9.81029892,-0.086223334,-0.03832148,0.023436533,0.078831971,-0.532648444,0.595721304,-0.196783349,-0.187505722,97756.51563
702.7000122,-9.83425045,-0.071852781,-0.004790185,0.019175345,0.115052067,-0.07670138,0.601092577,-0.195806757,-0.18652913,97762.01563
708.2000122,-9.872571945,-0.057482224,0.014370556,-0.026632424,-0.201341122,-0.170447513,0.597674489,-0.194830164,-0.183111057,97763.10938
713.7000122,-9.862991333,-0.091013521,-0.004790185,-0.027697721,-0.188557565,-0.164055735,0.60646385,-0.195806757,-0.184087649,97759.46875
719.2000122,-9.901312828,-0.071852781,0.014370556,0.002130594,0.170447513,0.030893611,0.600604296,-0.196783349,-0.184575945,97755.59375
724.7000122,-9.925263405,-0.081433147,0.028741112,-0.002130594,0.142749786,0.015979454,0.602069139,-0.198736534,-0.184575945,97756.88281
730.2000122,-9.930053711,-0.067062594,0.043111667,-0.005326485,0.119313255,-0.001065297,0.596697927,-0.196295053,-0.189458907,97758.44531
735.7000122,-9.925263405,-0.07664296,0.014370556,-0.006391782,0.084158458,-0.014914157,0.589373469,-0.191900387,-0.185552537,97757.74219
741.2000122,-9.88694191,-0.067062594,0.014370556,0.003195891,0.01065297,-0.017044751,0.605487227,-0.194830164,-0.185064241,97760.5
746.7000122,-9.915683746,-0.100593887,-0.014370556,0.005326485,0.005326485,-0.019175345,0.602069139,-0.193365276,-0.185064241,97764.10938
752.2000122,-9.896522522,-0.081433147,-0.01916074,0.005326485,0.01065297,-0.021305939,0.603045762,-0.194341868,-0.18897061,97765.23438
757.7000122,-9.862991333,-0.105384074,-0.028741112,0.005326485,0.012783564,-0.025567127,0.607928693,-0.193853572,-0.186040834,97763.32813
763.2000122,-9.862991333,-0.143705562,-0.028741112,0.006391782,0.014914157,-0.027697721,0.596209586,-0.197271645,-0.187994018,97759.03125
768.7000122,-9.824669838,-0.100593887,-0.043111667,0.005326485,0.015979454,-0.026632424,0.599139392,-0.195806757,-0.185552537,97758.54688
774.2000122,-9.824669838,-0.138915375,-0.071852781,0.005326485,0.018110048,-0.028763017,0.594744742,-0.197271645,-0.188482314,97764.75
779.7000122,-9.791138649,-0.172446668,-0.07664296,0.005326485,0.017044751,-0.028763017,0.587908566,-0.196295053,-0.185064241,97769.4375
785.2000122,-9.767188072,-0.172446668,-0.095803708,0.005326485,0.013848861,-0.025567127,0.604510665,-0.197271645,-0.188482314,97766.03906
790.7000122,-9.75760746,-0.210768148,-0.086223334,0.005326485,0.011718267,-0.023436533,0.590350032,-0.192388684,-0.187994018,97766.03906
796.2000122,-9.719285965,-0.153285921,-0.114964448,0.005326485,0.007457078,-0.021305939,0.589373469,-0.194830164,-0.18897061,97761.98438
801.7000122,-9.724076271,-0.186817229,-0.129335001,0.005326485,0.004261188,-0.018110048,0.595721304,-0.195806757,-0.186040834,97764.82031
807.2000122,-9.724076271,-0.205977961,-0.095803708,0.005326485,-0.001065297,-0.013848861,0.605487227,-0.196783349,-0.185064241,97768.3125
812.7000122,-9.724076271,-0.153285921,-0.143705562,0.004261188,-0.004261188,-0.009587673,0.601580858,-0.194830164,-0.184575945,97767.03906
818.2000122,-9.719285965,-0.205977961,-0.114964448,0.004261188,-0.009587673,-0.007457078,0.600115955,-0.197271645,-0.187505722,97764.38281
823.7000122,-9.738446236,-0.201187775,-0.129335001,0.004261188,-0.013848861,-0.004261188,0.602069139,-0.19531846,-0.18652913,97763.1875
829.2000122,-9.738446236,-0.186817229,-0.095803708,0.005326485,-0.017044751,0,0.60255748,-0.193365276,-0.183599353,97762.0625
834.7000122,-9.752817154,-0.143705562,-0.081433147,0.005326485,-0.020240642,0.002130594,0.604510665,-0.191900387,-0.18652913,97763.42969
840.2000122,-9.767188072,-0.153285921,-0.067062594,0.004261188,-0.022371236,0.004261188,0.605487227,-0.190923795,-0.185552537,97769.16406
845.7000122,-9.795928955,-0.138915375,-0.062272407,0.004261188,-0.02450183,0.005326485,0.600115955,-0.190435499,-0.186040834,97770.14063
851.2000122,-9.824669838,-0.153285921,-0.028741112,0.004261188,-0.025567127,0.006391782,0.599139392,-0.190435499,-0.187017426,97768.01563
856.7000122,-9.83425045,-0.129335001,-0.023950927,0.004261188,-0.025567127,0.007457078,0.602069139,-0.193853572,-0.185064241,97769.70313
862.2000122,-9.853410721,-0.114964448,-0.028741112,0.004261188,-0.02450183,0.007457078,0.608905315,-0.194830164,-0.186040834,97768.79688
867.7000122,-9.88694191,-0.114964448,-0.033531297,0.004261188,-0.023436533,0.005326485,0.602069139,-0.190435499,-0.186040834,97768.21094
873.2000122,-9.882152557,-0.110174261,-0.023950927,0.004261188,-0.021305939,0.004261188,0.605487227,-0.196783349,-0.183111057,97770.4375
878.7000122,-9.920474052,-0.091013521,-0.004790185,0.005326485,-0.018110048,0.002130594,0.608905315,-0.196783349,-0.186040834,97768.625
884.2000122,-9.91089344,-0.100593887,-0.004790185,0.004261188,-0.015979454,-0.001065297,0.601092577,-0.194341868,-0.184575945,97771.33594
889.7000122,-9.91089344,-0.067062594,0.03832148,0.005326485,-0.011718267,-0.004261188,0.605487227,-0.194830164,-0.186040834,97774.48438
895.2000122,-9.958795547,-0.062272407,0.004790185,0.005326485,-0.003195891,-0.01065297,0.60255748,-0.190923795,-0.185064241,97768.3125
900.7000122,-9.915683746,-0.086223334,0.023950927,0.005326485,0.001065297,-0.014914157,0.597186208,-0.190923795,-0.184575945,97768.92188
906.2000122,-9.915683746,-0.086223334,0.00958037,0.005326485,0.004261188,-0.015979454,0.594256401,-0.193853572,-0.185552537,97772.24219
911.7000122,-9.915683746,-0.114964448,0,0.005326485,0.008522375,-0.020240642,0.605487227,-0.190923795,-0.183599353,97772.24219
917.2000122,-9.906103134,-0.086223334,-0.00958037,0.005326485,0.01065297,-0.023436533,0.605487227,-0.193853572,-0.187017426,97769.16406
922.7000122,-9.867781639,-0.07664296,0.00958037,0.006391782,0.013848861,-0.02450183,0.611346781,-0.194830164,-0.181157872,97770.94531
928.2000122,-9.872571945,-0.114964448,-0.023950927,0.006391782,0.015979454,-0.027697721,0.605975509,-0.196783349,-0.184575945,97771.72656
933.7000122,-9.858201027,-0.105384074,-0.023950927,0.005326485,0.019175345,-0.028763017,0.595233023,-0.194341868,-0.182622761,97769.38281
