# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²),MaxQ (kg / ( m* s^2 ))
0,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,90,0,0,0,90,0,1.244e5,6.372e4,232.766,0.912,9.792,NaN,342.063,NaN,0,0,0,0.657,0.529,0.023,0.105,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.928,90,15,1013.25,0.001,340.389,0.006,7.238e5,20.32,324.293,0.01,0.059,0,0
0.01,0,0,0.008,0.008,4.518,4.518,0,0,0,0,5.253e-6,0.003,28.61,-80.6,89.777,0,0,0,90,0,1.243e5,6.365e4,232.731,0.912,9.792,NaN,342.144,NaN,1779.25,1.461,7.227e-9,0.657,0.529,0.023,0.105,9.733e-8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.934,90,15,1013.25,0.001,340.389,0.006,7.259e5,20.32,324.293,0.012,0.095,9.641e-7,3.473e-5
0.022,8.459e-4,8.459e-4,0.167,0.167,21.864,21.864,-2.958e-7,0,2.958e-7,270,4.374e-5,0.003,28.61,-80.6,85.074,0,0,0,90,0,1.243e5,6.357e4,232.687,0.911,9.792,NaN,342.242,NaN,3933.41,3.233,7.497e-5,0.656,0.528,0.023,0.105,9.954e-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.94,90,15,1013.25,0.001,340.389,0.006,7.31e5,20.32,324.293,0.01,0.105,2.141e-5,0.017
0.032,0.004,0.004,0.458,0.458,36.209,36.209,-8.964e-7,0,8.964e-7,270,7.669e-5,0.003,28.61,-80.6,76.765,0,0,0,90,0,1.242e5,6.35e4,232.662,0.911,9.792,NaN,342.353,NaN,5712.66,4.698,0.001,0.653,0.525,0.023,0.105,0.017,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.946,90,15,1013.25,0.001,340.389,0.006,7.503e5,20.32,324.293,0.012,0.113,5.858e-5,0.128
0.044,0.013,0.013,1.003,1.003,53.645,53.645,-2.09e-6,0,2.09e-6,270,1.213e-4,0.004,28.61,-80.6,62.805,0,0,0,90,0,1.241e5,6.342e4,232.631,0.911,9.792,NaN,342.488,NaN,7872.802,6.478,0.012,0.643,0.515,0.023,0.105,0.125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.952,90,15,1013.249,0.001,340.389,0.006,8.239e5,20.32,324.293,0.01,0.121,1.284e-4,0.616
0.054,0.025,0.025,1.611,1.611,68.024,68.024,-3.523e-6,0,3.523e-6,270,1.671e-4,0,28.61,-80.6,50.405,0,0,0,90,0,1.24e5,6.336e4,232.634,0.91,9.792,NaN,342.683,NaN,9652.052,7.947,0.039,0.629,0.501,0.023,0.105,0.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.948,90,15,1013.247,0.001,340.389,0.007,9.491e5,20.32,324.293,0.012,0.127,2.063e-4,1.59
0.066,0.05,0.05,2.513,2.513,84.99,84.99,-5.492e-6,0,5.492e-6,270,1.671e-4,0,28.61,-80.6,37.506,0,0,0,90,0,1.24e5,6.328e4,232.639,0.91,9.792,NaN,342.913,NaN,1.175e4,9.679,0.108,0.607,0.479,0.023,0.105,0.541,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.929,90,15,1013.244,0.001,340.389,0.009,1.189e6,20.32,324.293,0.01,0.133,3.217e-4,3.868
0.076,0.079,0.079,3.402,3.402,92.774,92.774,-7.163e-6,0,7.163e-6,270,1.671e-4,0,28.61,-80.6,29.342,0,0,0,90,0,1.239e5,6.321e4,232.611,0.91,9.792,NaN,343.009,NaN,1.271e4,10.474,0.2,0.588,0.46,0.023,0.105,0.661,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.912,90,14.999,1013.241,0.001,340.389,0.011,1.465e6,20.32,324.293,0.01,0.138,4.355e-4,7.088
0.086,0.118,0.118,4.368,4.368,100.567,100.567,-8.833e-6,0,8.833e-6,270,1.671e-4,0,28.61,-80.6,23.459,0,0,0,90,0,1.238e5,6.314e4,232.584,0.909,9.792,NaN,343.105,NaN,1.367e4,11.27,0.321,0.571,0.443,0.023,0.105,0.712,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.896,90,14.999,1013.236,0.001,340.388,0.014,1.788e6,20.32,324.293,0.012,0.143,5.593e-4,11.689
0.098,0.176,0.176,5.604,5.604,109.737,109.737,-1.08e-5,0,1.08e-5,270,1.671e-4,0,28.61,-80.6,18.512,0,0,0,90,0,1.237e5,6.307e4,232.551,0.909,9.792,NaN,343.217,NaN,1.479e4,12.207,0.498,0.554,0.426,0.023,0.106,0.718,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.877,90,14.999,1013.229,0.001,340.388,0.017,2.219e6,20.32,324.293,0.01,0.15,7.176e-4,19.237
0.108,0.238,0.238,6.701,6.701,109.555,109.555,-1.247e-5,0,1.247e-5,270,1.671e-4,0,28.61,-80.6,15.602,0,0,0,90,0,1.237e5,6.3e4,232.527,0.909,9.792,NaN,343.319,NaN,1.476e4,12.189,0.674,0.541,0.413,0.023,0.106,0.701,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.871,90,14.998,1013.222,0.001,340.388,0.02,2.612e6,20.32,324.293,0.01,0.155,8.579e-4,27.501
0.118,0.31,0.31,7.795,7.795,109.373,109.373,-1.414e-5,0,1.414e-5,270,1.671e-4,0,28.61,-80.6,13.482,0,0,0,90,0,1.236e5,6.293e4,232.502,0.908,9.792,NaN,343.421,NaN,1.473e4,12.17,0.859,0.531,0.403,0.023,0.106,0.673,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.869,90,14.998,1013.214,0.001,340.388,0.024,3.009e6,20.32,324.293,0.007,0.16,9.981e-4,37.22
0.125,0.371,0.371,8.602,8.602,109.239,109.239,-1.537e-5,0,1.537e-5,270,1.671e-4,0,28.61,-80.6,12.247,0,0,0,90,0,1.236e5,6.288e4,232.484,0.908,9.792,NaN,343.496,NaN,1.471e4,12.157,1.003,0.524,0.396,0.023,0.106,0.652,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.867,90,14.998,1013.207,0.001,340.387,0.026,3.304e6,20.32,324.293,0.01,0.167,0.001,45.323
0.135,0.462,0.462,9.692,9.692,108.637,108.637,-1.704e-5,0,1.704e-5,270,1.671e-4,0,28.61,-80.6,10.893,0,0,0,90,0,1.235e5,6.282e4,232.482,0.908,9.792,NaN,343.659,NaN,1.463e4,12.095,1.211,0.516,0.388,0.023,0.106,0.626,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.865,90,14.997,1013.196,0.001,340.387,0.029,3.705e6,20.32,324.293,0.012,0.172,0.001,57.528
0.147,0.586,0.586,10.984,10.984,107.919,107.919,-1.904e-5,0,1.904e-5,270,1.671e-4,0,28.61,-80.6,9.624,0,0,0,90,0,1.234e5,6.274e4,232.48,0.907,9.792,NaN,343.853,NaN,1.453e4,12.022,1.478,0.508,0.38,0.023,0.106,0.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.863,90,14.996,1013.181,0.001,340.387,0.033,4.182e6,20.32,324.293,0.009,0.18,0.001,73.89
0.156,0.69,0.69,11.964,11.964,107.451,107.451,-2.056e-5,0,2.056e-5,270,1.671e-4,0,28.61,-80.6,8.795,0,0,0,90,0,1.234e5,6.268e4,232.468,0.907,9.792,NaN,343.966,NaN,1.446e4,11.975,1.695,0.503,0.375,0.023,0.106,0.582,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.851,90,14.996,1013.169,0.001,340.386,0.036,4.545e6,20.32,324.293,0.008,0.185,0.002,87.668
0.165,0.794,0.794,12.86,12.86,107.02,107.02,-2.195e-5,0,2.195e-5,270,1.671e-4,0,28.61,-80.6,8.128,0,0,0,90,0,1.233e5,6.263e4,232.456,0.907,9.792,NaN,344.07,NaN,1.441e4,11.931,1.905,0.498,0.37,0.023,0.106,0.568,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.837,90,14.995,1013.157,0.001,340.386,0.038,4.877e6,20.32,324.293,0.008,0.19,0.002,101.295
0.173,0.903,0.903,13.737,13.737,106.596,106.596,-2.333e-5,0,2.333e-5,270,1.671e-4,0,28.61,-80.6,7.557,0,0,0,90,0,1.233e5,6.257e4,232.446,0.906,9.792,NaN,344.173,NaN,1.435e4,11.888,2.122,0.494,0.366,0.023,0.106,0.556,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.823,90,14.994,1013.144,0.001,340.385,0.041,5.202e6,20.32,324.293,0.007,0.195,0.002,115.58
0.18,1.006,1.006,14.513,14.513,106.379,106.379,-2.454e-5,0,2.454e-5,270,1.671e-4,0.065,28.61,-80.6,7.109,0,0,0,90,0,1.232e5,6.253e4,232.431,0.906,9.792,396.823,344.249,2.587,1.432e4,11.866,2.323,0.491,0.363,0.023,0.106,0.547,1.842,4.766,-3.592e-4,0,0,0,0,0,1.81,90,14.993,1013.132,0.001,340.385,0.043,5.49e6,20.32,324.293,0.011,0.201,0.002,128.99
0.191,1.171,1.171,15.672,15.672,106.052,106.052,-3.032e-5,0,3.032e-5,270,8.96e-4,0.068,28.61,-80.6,6.517,0,0.012,7.546e-7,90,90.004,1.231e5,6.245e4,232.41,0.906,9.792,399.122,344.363,2.695,1.427e4,11.832,2.641,0.486,0.358,0.023,0.106,0.534,1.648,4.443,2.366e-4,0,0,0,0,4.947e-6,1.791,90,14.992,1013.113,0.001,340.384,0.046,5.921e6,20.32,324.293,0.004,0.205,0.002,150.428
0.195,1.229,1.229,16.06,16.06,105.942,105.942,-3.406e-5,0,3.406e-5,270,0.001,0.069,28.61,-80.6,6.337,0,0.016,7.283e-7,90,90.004,1.231e5,6.243e4,232.403,0.906,9.792,399.842,344.401,2.728,1.425e4,11.821,2.752,0.485,0.357,0.023,0.106,0.531,1.591,4.342,9.009e-5,0,0,0,0,8.633e-6,1.785,90,14.992,1013.106,0.001,340.384,0.047,6.066e6,20.32,324.293,0.005,0.22,0.002,157.968
0.2,1.319,1.319,16.641,16.641,105.718,105.718,-4.14e-5,0,4.14e-5,270,0.002,0.07,28.61,-80.6,6.085,0,0.022,5.267e-7,90,90.003,1.231e5,6.24e4,232.391,0.905,9.792,400.876,344.455,2.777,1.422e4,11.799,2.923,0.483,0.355,0.023,0.106,0.525,1.512,4.197,3.256e-4,0,0,0,0,1.586e-5,1.776,90,14.991,1013.095,0.001,340.384,0.049,6.282e6,20.32,324.293,0.008,0.233,0.002,169.604
0.208,1.459,1.459,17.511,17.511,105.381,105.381,-5.64e-5,0,5.64e-5,270,0.002,0.073,28.61,-80.6,5.8,0,0.032,0,90,90.001,1.23e5,6.234e4,232.373,0.905,9.792,402.072,344.535,2.832,1.417e4,11.764,3.192,0.48,0.352,0.023,0.106,0.519,1.424,4.031,9.646e-5,0,0,0,0,3.028e-5,1.781,90,14.991,1013.079,0.001,340.383,0.052,6.607e6,20.32,324.293,0.008,0.239,0.002,187.784
0.217,1.607,1.607,18.377,18.377,105.044,105.044,-7.632e-5,0,7.632e-5,270,0.003,0.075,28.61,-80.6,5.543,0,0.042,0,89.999,90.001,1.23e5,6.229e4,232.356,0.905,9.792,403.181,344.616,2.882,1.412e4,11.73,3.473,0.477,0.349,0.023,0.106,0.513,1.346,3.878,1.981e-4,0,0,0,0,4.872e-5,1.786,90,14.99,1013.062,0.001,340.383,0.054,6.93e6,20.32,324.293,0.012,0.246,0.002,206.821
0.229,1.842,1.842,19.673,19.673,104.829,104.829,-1.158e-4,0,1.158e-4,270,0.004,0.078,28.61,-80.6,5.199,0,0.059,-8.436e-7,89.999,90,1.229e5,6.221e4,232.325,0.904,9.792,404.702,344.721,2.952,1.409e4,11.709,3.915,0.473,0.345,0.023,0.106,0.505,1.244,3.671,-4.057e-5,0,0,0,0,8.333e-5,1.794,90,14.988,1013.034,0.001,340.382,0.058,7.415e6,20.32,324.293,0.019,0.251,0.003,237.016
0.248,2.24,2.24,21.688,21.688,104.494,104.494,-2.013e-4,0,2.013e-4,270,0.005,0.083,28.61,-80.6,4.745,0,0.088,-1.895e-6,89.997,90,1.228e5,6.209e4,232.276,0.904,9.792,406.789,344.885,3.046,1.404e4,11.675,4.653,0.468,0.339,0.023,0.106,0.495,1.113,3.389,-9.847e-5,0,0,0,0,1.525e-4,1.806,90,14.985,1012.987,0.001,340.38,0.064,8.168e6,20.32,324.293,0.02,0.256,0.003,288.031
0.268,2.694,2.694,23.773,23.773,104.137,104.137,-3.226e-4,0,3.226e-4,270,0.007,0.089,28.61,-80.6,4.471,0,0.123,-4.77e-6,89.995,89.999,1.226e5,6.196e4,232.219,0.903,9.792,408.099,345.033,3.104,1.398e4,11.639,5.498,0.463,0.334,0.023,0.106,0.487,1.036,3.214,-9.898e-5,0,0,0,0,2.439e-4,1.868,90,14.982,1012.934,0.001,340.378,0.07,8.95e6,20.32,324.293,0.032,0.261,0.003,346.061
0.3,3.495,3.495,27.044,27.044,103.396,103.396,-5.868e-4,0,5.868e-4,270,0.01,0.097,28.61,-80.6,4.14,0,0.186,-5.421e-6,89.99,89.999,1.224e5,6.176e4,232.136,0.902,9.792,409.733,345.281,3.172,1.387e4,11.565,6.961,0.456,0.327,0.023,0.106,0.477,0.945,2.996,-1.528e-4,0,0,0,0,4.334e-4,1.972,90,14.977,1012.84,0.001,340.375,0.08,1.018e7,20.32,324.293,0.023,0.266,0.003,447.819
0.323,4.141,4.141,29.402,29.402,102.768,102.768,-8.382e-4,0,8.382e-4,270,0.012,0.1,28.61,-80.6,3.92,0,0.239,-6.773e-6,89.985,89.999,1.223e5,6.161e4,232.089,0.901,9.792,410.852,345.49,3.217,1.377e4,11.502,8.114,0.452,0.323,0.023,0.106,0.47,0.886,2.848,3.102e-5,0,0,0,0,6.075e-4,2.034,90,14.973,1012.764,0.001,340.373,0.087,1.106e7,20.32,324.293,0.022,0.271,0.004,529.276
0.344,4.799,4.799,31.612,31.612,102.262,102.262,-0.001,0,0.001,270,0.014,0.101,28.61,-80.6,3.742,0,0.295,-1.366e-6,89.98,89.999,1.222e5,6.148e4,232.033,0.901,9.792,411.779,345.655,3.254,1.37e4,11.451,9.271,0.449,0.319,0.023,0.106,0.465,0.838,2.727,-2.463e-4,0,0,0,0,8.006e-4,2.093,90,14.969,1012.687,0.001,340.37,0.093,1.189e7,20.32,324.293,0.022,0.279,0.004,611.791
0.366,5.521,5.521,33.864,33.864,101.881,101.881,-0.001,0,0.001,270,0.017,0.103,28.61,-80.6,3.641,0,0.359,2.278e-6,89.973,89.999,1.22e5,6.134e4,231.965,0.9,9.792,412.322,345.794,3.274,1.364e4,11.413,10.54,0.445,0.316,0.023,0.107,0.461,0.812,2.658,-1.057e-4,0,0,0,0,0.001,2.188,90,14.964,1012.602,0.001,340.367,0.1,1.273e7,20.32,324.293,0.033,0.285,0.004,702.053
0.399,6.698,6.698,37.225,37.225,101.105,101.105,-0.002,-5.346e-9,0.002,270,0.02,0.103,28.61,-80.6,3.538,0,0.468,1.295e-6,89.959,90,1.218e5,6.113e4,231.879,0.899,9.792,412.891,346.038,3.29,1.352e4,11.336,12.583,0.441,0.311,0.023,0.107,0.456,0.786,2.583,4.23e-4,0,0,0,0,0.001,2.348,90,14.956,1012.464,0.001,340.363,0.11,1.399e7,20.32,324.293,0.004,0.289,0.005,848.192
0.404,6.856,6.856,37.651,37.651,101.005,101.005,-0.002,-5.586e-9,0.002,270,0.02,0.101,28.61,-80.6,3.488,0,0.483,5.155e-7,89.957,90,1.218e5,6.11e4,231.868,0.899,9.792,413.161,346.069,3.302,1.351e4,11.326,12.845,0.44,0.31,0.023,0.107,0.455,0.773,2.55,1e-4,0,0,0,0,0.002,2.344,90,14.955,1012.446,0.001,340.362,0.111,1.415e7,20.32,324.293,0.006,0.297,0.005,867.716
0.41,7.096,7.096,38.289,38.289,100.754,100.754,-0.002,-5.971e-9,0.002,270,0.021,0.096,28.61,-80.6,3.403,0,0.506,0,89.954,90,1.217e5,6.106e4,231.866,0.899,9.792,413.615,346.147,3.32,1.347e4,11.3,13.24,0.44,0.31,0.023,0.107,0.453,0.751,2.491,-1.523e-4,0,0,0,0,0.002,2.329,90,14.954,1012.418,0.001,340.361,0.113,1.439e7,20.32,324.293,0.005,0.302,0.005,897.365
0.415,7.307,7.307,38.839,38.839,100.536,100.536,-0.002,-6.327e-9,0.002,270,0.022,0.091,28.61,-80.6,3.332,0,0.526,0,89.951,90,1.217e5,6.103e4,231.863,0.898,9.792,413.998,346.215,3.336,1.344e4,11.278,13.585,0.439,0.309,0.023,0.107,0.452,0.733,2.442,-4.669e-4,0,0,0,0,0.002,2.316,90,14.953,1012.393,0.001,340.36,0.114,1.46e7,20.32,324.293,0.008,0.308,0.005,923.327
0.424,7.629,7.629,39.664,39.664,100.436,100.436,-0.003,-6.909e-9,0.003,270,0.022,0.084,28.61,-80.6,3.23,0,0.557,-1.444e-6,89.947,90,1.217e5,6.097e4,231.837,0.898,9.792,414.56,346.26,3.361,1.342e4,11.269,14.111,0.438,0.308,0.023,0.107,0.45,0.707,2.374,1.516e-4,0,0,0,0,0.002,2.297,90,14.95,1012.355,0.001,340.359,0.117,1.491e7,20.32,324.293,0.012,0.312,0.005,962.9
0.436,8.125,8.125,40.898,40.898,100.286,100.286,-0.003,-7.888e-9,0.003,270,0.023,0.072,28.61,-80.6,3.083,0,0.603,-1.295e-6,89.939,90,1.216e5,6.09e4,231.797,0.898,9.792,415.375,346.329,3.398,1.34e4,11.254,14.918,0.437,0.306,0.023,0.107,0.448,0.67,2.274,-3.526e-4,0,0,0,0,0.002,2.269,90,14.947,1012.297,0.001,340.357,0.12,1.537e7,20.32,324.293,0.011,0.316,0.005,1023.735
0.446,8.564,8.564,41.96,41.96,100.157,100.157,-0.003,-8.837e-9,0.003,270,0.024,0.061,28.61,-80.6,2.962,0,0.644,-2.614e-6,89.933,90,1.215e5,6.083e4,231.763,0.897,9.792,416.051,346.388,3.428,1.338e4,11.241,15.63,0.436,0.305,0.023,0.107,0.446,0.64,2.193,-1.389e-4,0,0,0,0,0.002,2.245,90,14.944,1012.246,0.001,340.355,0.123,1.576e7,20.32,324.293,0.016,0.322,0.005,1077.55
0.462,9.243,9.243,43.55,43.55,99.806,99.806,-0.003,-1.045e-8,0.003,270,0.025,0.048,28.61,-80.6,2.862,0,0.706,7.557e-7,89.922,90,1.214e5,6.073e4,231.722,0.897,9.792,416.63,346.5,3.451,1.332e4,11.206,16.745,0.434,0.303,0.023,0.107,0.444,0.615,2.122,3.414e-4,0,0,0,0,0.002,2.261,90,14.94,1012.166,0.001,340.352,0.128,1.636e7,20.32,324.293,0.006,0.328,0.006,1160.646
0.468,9.508,9.508,44.151,44.151,99.672,99.672,-0.004,-1.112e-8,0.004,270,0.025,0.043,28.61,-80.6,2.833,0,0.731,3.542e-7,89.918,90,1.214e5,6.069e4,231.707,0.897,9.792,416.8,346.542,3.458,1.33e4,11.193,17.18,0.433,0.303,0.023,0.107,0.443,0.608,2.101,9.425e-6,0,0,0,0,0.003,2.274,90,14.938,1012.135,0.001,340.351,0.13,1.658e7,20.32,324.293,0.009,0.334,0.006,1192.913
0.477,9.911,9.911,45.053,45.053,99.593,99.593,-0.004,-1.219e-8,0.004,270,0.025,0.035,28.61,-80.6,2.791,0,0.768,-7.398e-7,89.911,90,1.213e5,6.064e4,231.676,0.896,9.792,417.05,346.587,3.468,1.329e4,11.186,17.84,0.432,0.302,0.023,0.107,0.442,0.598,2.072,-8.483e-5,0,0,0,0,0.003,2.292,90,14.936,1012.088,0.001,340.35,0.133,1.692e7,20.32,324.293,0.014,0.341,0.006,1242.087
0.491,10.532,10.532,46.404,46.404,99.474,99.474,-0.004,-1.395e-8,0.004,270,0.026,0.022,28.61,-80.6,2.729,0,0.827,-3.633e-6,89.9,90,1.212e5,6.055e4,231.629,0.896,9.792,417.415,346.653,3.482,1.327e4,11.174,18.853,0.431,0.3,0.023,0.108,0.44,0.583,2.028,-4.279e-4,0,0,0,0,0.003,2.319,90,14.932,1012.015,0.001,340.347,0.137,1.743e7,20.32,324.293,0.006,0.347,0.006,1317.629
0.497,10.792,10.792,46.958,46.958,99.425,99.425,-0.004,-1.473e-8,0.004,270,0.026,0.016,28.61,-80.6,2.705,0,0.851,-4.161e-6,89.895,90,1.212e5,6.052e4,231.61,0.896,9.792,417.562,346.68,3.488,1.326e4,11.17,19.276,0.431,0.3,0.023,0.108,0.439,0.577,2.012,-3.896e-4,0,0,0,0,0.003,2.33,90,14.93,1011.984,0.001,340.346,0.138,1.764e7,20.32,324.293,0.008,0.352,0.006,1349.249
0.505,11.188,11.188,47.789,47.789,99.35,99.35,-0.005,-1.594e-8,0.005,270,0.026,0.004,28.61,-80.6,2.648,0,0.889,3.517e-6,89.888,90,1.211e5,6.047e4,231.587,0.895,9.792,417.896,346.734,3.502,1.324e4,11.163,19.912,0.43,0.299,0.023,0.108,0.438,0.564,1.971,-2.645e-4,0,0,0,0,0.003,2.33,90,14.927,1011.938,0.001,340.345,0.141,1.795e7,20.32,324.293,0.014,0.357,0.006,1397.351
0.519,11.869,11.869,49.184,49.184,99.223,99.223,-0.005,-1.815e-8,0.005,270,0.026,0.018,28.61,-80.6,2.533,0,0.952,-1.07e-6,89.875,90,1.211e5,6.038e4,231.548,0.895,9.792,418.58,346.823,3.531,1.322e4,11.151,20.997,0.429,0.298,0.023,0.108,0.437,0.536,1.891,2.314e-4,0,0,0,0,0.003,2.309,90,14.923,1011.858,0.001,340.342,0.145,1.847e7,20.32,324.293,0.022,0.363,0.006,1480.028
0.541,12.974,12.974,51.361,51.361,98.987,98.987,-0.006,-2.197e-8,0.006,270,0.025,0.057,28.61,-80.6,2.363,0,1.054,4.407e-6,89.853,90,1.209e5,6.024e4,231.5,0.894,9.792,419.604,346.991,3.574,1.318e4,11.128,22.747,0.427,0.296,0.023,0.108,0.434,0.496,1.769,4.964e-4,0,0,0,0,0.004,2.277,90,14.916,1011.728,0.001,340.338,0.151,1.928e7,20.32,324.293,0.032,0.368,0.007,1613.794
0.573,14.66,14.66,54.511,54.511,98.843,98.843,-0.006,-2.816e-8,0.006,270,0.022,0.126,28.61,-80.6,2.102,0,1.203,1.451e-5,89.817,90,1.207e5,6.004e4,231.412,0.893,9.792,421.216,347.186,3.643,1.314e4,11.116,25.521,0.427,0.295,0.023,0.108,0.432,0.436,1.583,3.49e-4,0,0,0,0,0.004,2.197,90,14.905,1011.531,0.001,340.331,0.16,2.046e7,20.32,324.293,0.02,0.373,0.007,1817.526
0.593,15.769,15.769,56.487,56.487,98.856,98.856,-0.007,-3.267e-8,0.007,270,0.019,0.177,28.61,-80.6,1.941,0,1.297,2.181e-5,89.792,90,1.206e5,5.992e4,231.347,0.893,9.792,422.229,347.287,3.688,1.313e4,11.119,27.364,0.427,0.295,0.024,0.109,0.432,0.399,1.468,9.422e-5,0,0,0,0,0.005,2.139,90,14.897,1011.401,0.001,340.327,0.166,2.12e7,20.32,324.293,0.03,0.379,0.007,1951.505
0.623,17.509,17.509,59.454,59.454,98.803,98.803,-0.007,-4.076e-8,0.007,270,0.013,0.259,28.61,-80.6,1.729,0,1.437,3.927e-5,89.751,90,1.204e5,5.973e4,231.256,0.892,9.792,423.602,347.451,3.748,1.311e4,11.116,30.262,0.428,0.295,0.024,0.109,0.431,0.352,1.313,-4.142e-4,0,0,0,0,0.005,2.066,90,14.886,1011.196,0.001,340.32,0.175,2.23e7,20.32,324.293,0.022,0.385,0.008,2161.489
0.645,18.839,18.839,61.623,61.623,98.738,98.739,-0.007,-4.816e-8,0.007,270,0.006,0.324,28.61,-80.6,1.586,0,1.538,7.447e-5,89.719,90,1.203e5,5.96e4,231.192,0.891,9.792,424.548,347.574,3.788,1.309e4,11.111,32.48,0.428,0.295,0.024,0.109,0.431,0.321,1.208,-2.248e-4,0,0,0,0,0.006,2.015,90,14.878,1011.041,0.001,340.315,0.181,2.311e7,20.32,324.293,0.022,0.389,0.008,2321.809
0.667,20.22,20.22,63.799,63.799,98.917,98.918,-0.007,-5.79e-8,0.007,270,0.002,0.387,28.61,-80.6,1.518,0,1.64,7.033e-5,89.684,90.001,1.201e5,5.946e4,231.108,0.89,9.792,425.022,347.652,3.808,1.31e4,11.131,34.811,0.428,0.295,0.024,0.109,0.431,0.306,1.159,4.839e-4,0,0,0,0,0.006,2.042,90,14.869,1010.879,0.001,340.309,0.188,2.393e7,20.32,324.293,0.032,0.394,0.008,2488.357
0.699,22.313,22.313,66.964,66.964,98.79,98.791,-0.007,-7.864e-8,0.007,269.999,0.015,0.479,28.61,-80.6,1.451,0,1.796,6.946e-5,89.629,90.001,1.199e5,5.927e4,231.017,0.889,9.792,425.513,347.834,3.823,1.306e4,11.121,38.361,0.428,0.295,0.024,0.11,0.431,0.292,1.108,3.882e-4,0,0,0,0,0.007,2.116,90,14.855,1010.633,0.001,340.301,0.197,2.511e7,20.32,324.293,0.02,0.399,0.009,2740.884
0.719,23.671,23.671,68.939,68.939,98.769,98.771,-0.007,-9.686e-8,0.007,269.999,0.026,0.544,28.61,-80.6,1.399,0,1.896,6.591e-5,89.592,90.001,1.198e5,5.914e4,230.956,0.889,9.792,425.891,347.936,3.836,1.305e4,11.121,40.66,0.429,0.295,0.024,0.11,0.431,0.28,1.069,4.544e-4,0,0,0,0,0.007,2.15,90,14.846,1010.474,0.001,340.296,0.203,2.585e7,20.32,324.293,0.027,0.407,0.009,2904.509
0.746,25.603,25.603,71.656,71.656,98.991,98.993,-0.006,-1.301e-7,0.006,269.999,0.042,0.643,28.61,-80.6,1.326,0,2.037,4.738e-5,89.538,90.001,1.197e5,5.897e4,230.852,0.888,9.792,426.423,348.032,3.858,1.306e4,11.147,43.935,0.429,0.294,0.024,0.111,0.431,0.265,1.015,3.13e-4,0,0,0,0,0.007,2.196,90,14.834,1010.247,0.001,340.288,0.211,2.686e7,20.32,324.293,0.022,0.414,0.009,3137.383
0.768,27.201,27.201,73.829,73.829,98.827,98.83,-0.005,-1.64e-7,0.005,269.998,0.057,0.736,28.61,-80.6,1.214,0,2.151,4.628e-5,89.492,90.001,1.195e5,5.884e4,230.798,0.887,9.792,427.209,348.172,3.89,1.303e4,11.133,46.628,0.429,0.294,0.024,0.111,0.431,0.241,0.931,3.094e-4,0,0,0,0,0.008,2.163,90,14.823,1010.06,0.001,340.282,0.217,2.767e7,20.32,324.293,0.022,0.423,0.009,3330.095
